"Cement (component 1)(kg in a m^3 mixture)","Blast Furnace Slag (component 2)(kg in a m^3 mixture)","Fly Ash (component 3)(kg in a m^3 mixture)","Water  (component 4)(kg in a m^3 mixture)","Superplasticizer (component 5)(kg in a m^3 mixture)","Coarse Aggregate  (component 6)(kg in a m^3 mixture)","Fine Aggregate (component 7)(kg in a m^3 mixture)","Age (day)","Concrete compressive strength(MPa, megapascals) "
540,0,0,162,2.5,1040,676,28,79.986110760000003
540,0,0,162,2.5,1055,676,28,61.887365759999995
332.5,142.5,0,228,0,932,594,270,40.269535256000005
332.5,142.5,0,228,0,932,594,365,41.052779992
198.6,132.40000000000001,0,192,0,978.4,825.5,360,44.296075096000003
266,114,0,228,0,932,670,90,47.029847436000005
380,95,0,228,0,932,594,365,43.698299404
380,95,0,228,0,932,594,28,36.447769788000003
266,114,0,228,0,932,670,28,45.854290856
475,0,0,228,0,932,594,28,39.28978986
198.6,132.40000000000001,0,192,0,978.4,825.5,90,38.074243671999995
198.6,132.40000000000001,0,192,0,978.4,825.5,28,28.021683592
427.5,47.5,0,228,0,932,594,270,43.01296026
190,190,0,228,0,932,670,90,42.32693164
304,76,0,228,0,932,670,28,47.813781648000003
380,0,0,228,0,932,670,90,52.908319811999995
139.6,209.40000000000001,0,192,0,1047,806.9,90,39.358047983999996
342,38,0,228,0,932,670,365,56.141962252
380,95,0,228,0,932,594,90,40.563252031999995
475,0,0,228,0,932,594,180,42.620648416000002
427.5,47.5,0,228,0,932,594,180,41.836714203999997
139.6,209.40000000000001,0,192,0,1047,806.9,28,28.23748958
139.6,209.40000000000001,0,192,0,1047,806.9,3,8.063421820000001
139.6,209.40000000000001,0,192,0,1047,806.9,180,44.207822168
380,0,0,228,0,932,670,365,52.516697443999995
380,0,0,228,0,932,670,270,53.300631656000001
380,95,0,228,0,932,594,270,41.15137506
342,38,0,228,0,932,670,180,52.1243856
427.5,47.5,0,228,0,932,594,28,37.427515183999994
475,0,0,228,0,932,594,7,38.60376124
304,76,0,228,0,932,670,365,55.260122448
266,114,0,228,0,932,670,365,52.908319811999995
198.6,132.40000000000001,0,192,0,978.4,825.5,180,41.719503284
475,0,0,228,0,932,594,270,42.131120456
190,190,0,228,0,932,670,365,53.692254023999994
237.5,237.5,0,228,0,932,594,270,38.407950056000005
237.5,237.5,0,228,0,932,594,28,30.079769451999998
332.5,142.5,0,228,0,932,594,90,37.721921436000003
475,0,0,228,0,932,594,90,42.229026048000002
237.5,237.5,0,228,0,932,594,180,36.251958603999996
342,38,0,228,0,932,670,90,50.459301060000002
427.5,47.5,0,228,0,932,594,365,43.698299404
237.5,237.5,0,228,0,932,594,365,38.995383608
380,0,0,228,0,932,670,180,53.104130996000003
427.5,47.5,0,228,0,932,594,90,41.542997428
427.5,47.5,0,228,0,932,594,7,35.076402024
349,0,0,192,0,1047,806.9,3,15.049192651999999
380,95,0,228,0,932,594,180,40.759063216000002
237.5,237.5,0,228,0,932,594,7,26.258003984
380,95,0,228,0,932,594,7,32.823194456000004
332.5,142.5,0,228,0,932,594,180,39.779317819999996
190,190,0,228,0,932,670,180,46.931941843999994
237.5,237.5,0,228,0,932,594,90,33.116911232
304,76,0,228,0,932,670,90,49.185149411999995
139.6,209.40000000000001,0,192,0,1047,806.9,7,14.589312159999999
198.6,132.40000000000001,0,192,0,978.4,825.5,7,14.638264955999999
475,0,0,228,0,932,594,365,41.934619796
198.6,132.40000000000001,0,192,0,978.4,825.5,3,9.131420144
304,76,0,228,0,932,670,180,50.94882902
332.5,142.5,0,228,0,932,594,28,33.019005639999997
304,76,0,228,0,932,670,270,54.378282643999996
266,114,0,228,0,932,670,270,51.732763231999997
310,0,0,192,0,971,850.60000000000003,3,9.86640156
190,190,0,228,0,932,670,270,50.655112243999995
266,114,0,228,0,932,670,180,48.695621452
342,38,0,228,0,932,670,270,55.064311264
139.6,209.40000000000001,0,192,0,1047,806.9,360,44.698039603999995
332.5,142.5,0,228,0,932,594,7,30.275580636000001
190,190,0,228,0,932,670,28,40.856968808
485,0,0,146,0,1120,800,28,71.98818916000001
374,189.2,0,170.1,10.1,926.10000000000003,756.7000000000001,3,34.397957640000002
313.30000000000002,262.2,0,175.5,8.6,1046.9000000000001,611.8,3,28.799412520000001
425,106.3,0,153.5,16.5,852.10000000000003,887.10000000000003,3,33.398217439999997
425,106.3,0,151.40000000000001,18.600000000000002,936,803.7000000000001,3,36.3009114
375,93.8,0,126.6,23.4,852.10000000000003,992.60000000000003,3,28.99936056
475,118.8,0,181.1,8.900000000000001,852.10000000000003,781.5,3,37.797074320000001
469,117.20000000000001,0,137.80000000000002,32.200000000000003,852.10000000000003,840.5,3,40.196450800000001
425,106.3,0,153.5,16.5,852.10000000000003,887.10000000000003,3,33.398217439999997
388.60000000000003,97.1,0,157.90000000000001,12.1,852.10000000000003,925.7000000000001,3,28.096147
531.3,0,0,141.80000000000002,28.2,852.10000000000003,893.7000000000001,3,41.299612400000001
425,106.3,0,153.5,16.5,852.10000000000003,887.10000000000003,3,33.398217439999997
318.80000000000002,212.5,0,155.7,14.300000000000001,852.10000000000003,880.4,3,25.2003478
401.80000000000002,94.700000000000003,0,147.40000000000001,11.400000000000001,946.8,852.10000000000003,3,41.09966436
362.60000000000003,189,0,164.90000000000001,11.6,944.7000000000001,755.8,3,35.3011712
323.7,282.80000000000002,0,183.80000000000002,10.300000000000001,942.7000000000001,659.9,3,28.296095039999998
379.5,151.2,0,153.90000000000001,15.900000000000001,1134.3,605,3,28.599464479999999
362.60000000000003,189,0,164.90000000000001,11.6,944.7000000000001,755.8,3,35.3011712
286.30000000000002,200.90000000000001,0,144.7,11.2,1004.6000000000001,803.7000000000001,3,24.400555640000001
362.60000000000003,189,0,164.90000000000001,11.6,944.7000000000001,755.8,3,35.3011712
439,177,0,186,11.1,884.9,707.9,3,39.300132
389.9,189,0,145.90000000000001,22,944.7000000000001,755.8,3,40.59634688
362.60000000000003,189,0,164.90000000000001,11.6,944.7000000000001,755.8,3,35.3011712
337.9,189,0,174.90000000000001,9.5,944.7000000000001,755.8,3,24.0971862
374,189.2,0,170.1,10.1,926.10000000000003,756.7000000000001,7,46.20178676
313.30000000000002,262.2,0,175.5,8.6,1046.9000000000001,611.8,7,42.79577532
425,106.3,0,153.5,16.5,852.10000000000003,887.10000000000003,7,49.20100736
425,106.3,0,151.40000000000001,18.600000000000002,936,803.7000000000001,7,46.80163088
375,93.8,0,126.6,23.4,852.10000000000003,992.60000000000003,7,45.69846928
475,118.8,0,181.1,8.900000000000001,852.10000000000003,781.5,7,55.59934464
469,117.20000000000001,0,137.80000000000002,32.200000000000003,852.10000000000003,840.5,7,54.896079119999997
425,106.3,0,153.5,16.5,852.10000000000003,887.10000000000003,7,49.20100736
388.60000000000003,97.1,0,157.90000000000001,12.1,852.10000000000003,925.7000000000001,7,34.901275120000002
531.3,0,0,141.80000000000002,28.2,852.10000000000003,893.7000000000001,7,46.89815752
425,106.3,0,153.5,16.5,852.10000000000003,887.10000000000003,7,49.20100736
318.80000000000002,212.5,0,155.7,14.300000000000001,852.10000000000003,880.4,7,33.398217439999997
401.80000000000002,94.700000000000003,0,147.40000000000001,11.400000000000001,946.8,852.10000000000003,7,54.096286960000001
362.60000000000003,189,0,164.90000000000001,11.6,944.7000000000001,755.8,7,55.895819320000002
323.7,282.80000000000002,0,183.80000000000002,10.300000000000001,942.7000000000001,659.9,7,49.80085148
379.5,151.2,0,153.90000000000001,15.900000000000001,1134.3,605,7,47.098105560000001
362.60000000000003,189,0,164.90000000000001,11.6,944.7000000000001,755.8,7,55.895819320000002
286.30000000000002,200.90000000000001,0,144.7,11.2,1004.6000000000001,803.7000000000001,7,37.997022359999996
362.60000000000003,189,0,164.90000000000001,11.6,944.7000000000001,755.8,7,55.895819320000002
439,177,0,186,11.1,884.9,707.9,7,56.095767359999997
389.9,189,0,145.90000000000001,22,944.7000000000001,755.8,7,59.09498796
362.60000000000003,189,0,164.90000000000001,11.6,944.7000000000001,755.8,7,22.89749796
337.9,189,0,174.90000000000001,9.5,944.7000000000001,755.8,7,35.101223159999997
374,189.2,0,170.1,10.1,926.10000000000003,756.7000000000001,28,61.094468360000001
313.30000000000002,262.2,0,175.5,8.6,1046.9000000000001,611.8,28,59.79825348
425,106.3,0,153.5,16.5,852.10000000000003,887.10000000000003,28,60.2946762
425,106.3,0,151.40000000000001,18.600000000000002,936,803.7000000000001,28,61.797733879999996
375,93.8,0,126.6,23.4,852.10000000000003,992.60000000000003,28,56.69561148
475,118.8,0,181.1,8.900000000000001,852.10000000000003,781.5,28,68.29949256000001
469,117.20000000000001,0,137.80000000000002,32.200000000000003,852.10000000000003,840.5,28,66.89985628
425,106.3,0,153.5,16.5,852.10000000000003,887.10000000000003,28,60.2946762
388.60000000000003,97.1,0,157.90000000000001,12.1,852.10000000000003,925.7000000000001,28,50.697170280000002
531.3,0,0,141.80000000000002,28.2,852.10000000000003,893.7000000000001,28,56.399136800000001
425,106.3,0,153.5,16.5,852.10000000000003,887.10000000000003,28,60.2946762
318.80000000000002,212.5,0,155.7,14.300000000000001,852.10000000000003,880.4,28,55.495923239999997
401.80000000000002,94.700000000000003,0,147.40000000000001,11.400000000000001,946.8,852.10000000000003,28,68.4994406
362.60000000000003,189,0,164.90000000000001,11.6,944.7000000000001,755.8,28,71.298713159999992
323.7,282.80000000000002,0,183.80000000000002,10.300000000000001,942.7000000000001,659.9,28,74.69782984
379.5,151.2,0,153.90000000000001,15.900000000000001,1134.3,605,28,52.20022796
362.60000000000003,189,0,164.90000000000001,11.6,944.7000000000001,755.8,28,71.298713159999992
286.30000000000002,200.90000000000001,0,144.7,11.2,1004.6000000000001,803.7000000000001,28,67.69964844000001
362.60000000000003,189,0,164.90000000000001,11.6,944.7000000000001,755.8,28,71.298713159999992
439,177,0,186,11.1,884.9,707.9,28,65.99664272
389.9,189,0,145.90000000000001,22,944.7000000000001,755.8,28,74.497881800000002
362.60000000000003,189,0,164.90000000000001,11.6,944.7000000000001,755.8,28,71.298713159999992
337.9,189,0,174.90000000000001,9.5,944.7000000000001,755.8,28,49.89737812
374,189.2,0,170.1,10.1,926.10000000000003,756.7000000000001,56,63.397318200000001
313.30000000000002,262.2,0,175.5,8.6,1046.9000000000001,611.8,56,64.90037588
425,106.3,0,153.5,16.5,852.10000000000003,887.10000000000003,56,64.30053176
425,106.3,0,151.40000000000001,18.600000000000002,936,803.7000000000001,56,64.90037588
375,93.8,0,126.6,23.4,852.10000000000003,992.60000000000003,56,60.19814956
475,118.8,0,181.1,8.900000000000001,852.10000000000003,781.5,56,72.29845336
469,117.20000000000001,0,137.80000000000002,32.200000000000003,852.10000000000003,840.5,56,69.29923276
425,106.3,0,153.5,16.5,852.10000000000003,887.10000000000003,56,64.30053176
388.60000000000003,97.1,0,157.90000000000001,12.1,852.10000000000003,925.7000000000001,56,55.199448560000001
531.3,0,0,141.80000000000002,28.2,852.10000000000003,893.7000000000001,56,58.798513279999995
425,106.3,0,153.5,16.5,852.10000000000003,887.10000000000003,56,64.30053176
318.80000000000002,212.5,0,155.7,14.300000000000001,852.10000000000003,880.4,56,66.10006412
401.80000000000002,94.700000000000003,0,147.40000000000001,11.400000000000001,946.8,852.10000000000003,56,73.698089639999993
362.60000000000003,189,0,164.90000000000001,11.6,944.7000000000001,755.8,56,77.29715436
323.7,282.80000000000002,0,183.80000000000002,10.300000000000001,942.7000000000001,659.9,56,80.199848320000001
379.5,151.2,0,153.90000000000001,15.900000000000001,1134.3,605,56,54.896079119999997
362.60000000000003,189,0,164.90000000000001,11.6,944.7000000000001,755.8,56,77.29715436
286.30000000000002,200.90000000000001,0,144.7,11.2,1004.6000000000001,803.7000000000001,56,72.99482412000001
362.60000000000003,189,0,164.90000000000001,11.6,944.7000000000001,755.8,56,77.29715436
439,177,0,186,11.1,884.9,707.9,56,71.69860924
389.9,189,0,145.90000000000001,22,944.7000000000001,755.8,56,79.400056159999992
362.60000000000003,189,0,164.90000000000001,11.6,944.7000000000001,755.8,56,77.29715436
337.9,189,0,174.90000000000001,9.5,944.7000000000001,755.8,56,59.894780120000001
374,189.2,0,170.1,10.1,926.10000000000003,756.7000000000001,91,64.90037588
313.30000000000002,262.2,0,175.5,8.6,1046.9000000000001,611.8,91,66.59648684
425,106.3,0,153.5,16.5,852.10000000000003,887.10000000000003,91,65.196850560000002
425,106.3,0,151.40000000000001,18.600000000000002,936,803.7000000000001,91,66.69990824
375,93.8,0,126.6,23.4,852.10000000000003,992.60000000000003,91,62.5009994
475,118.8,0,181.1,8.900000000000001,852.10000000000003,781.5,91,74.19451236000001
469,117.20000000000001,0,137.80000000000002,32.200000000000003,852.10000000000003,840.5,91,70.698869039999992
425,106.3,0,153.5,16.5,852.10000000000003,887.10000000000003,91,65.196850560000002
388.60000000000003,97.1,0,157.90000000000001,12.1,852.10000000000003,925.7000000000001,91,57.598825040000002
531.3,0,0,141.80000000000002,28.2,852.10000000000003,893.7000000000001,91,59.19840936
425,106.3,0,153.5,16.5,852.10000000000003,887.10000000000003,91,65.196850560000002
318.80000000000002,212.5,0,155.7,14.300000000000001,852.10000000000003,880.4,91,68.09954452
401.80000000000002,94.700000000000003,0,147.40000000000001,11.400000000000001,946.8,852.10000000000003,91,75.497621999999993
362.60000000000003,189,0,164.90000000000001,11.6,944.7000000000001,755.8,91,79.29663476000001
379.5,151.2,0,153.90000000000001,15.900000000000001,1134.3,605,91,56.495663440000002
362.60000000000003,189,0,164.90000000000001,11.6,944.7000000000001,755.8,91,79.29663476000001
286.30000000000002,200.90000000000001,0,144.7,11.2,1004.6000000000001,803.7000000000001,91,76.80073164
362.60000000000003,189,0,164.90000000000001,11.6,944.7000000000001,755.8,91,79.29663476000001
439,177,0,186,11.1,884.9,707.9,91,73.298193560000002
389.9,189,0,145.90000000000001,22,944.7000000000001,755.8,91,82.599224800000002
362.60000000000003,189,0,164.90000000000001,11.6,944.7000000000001,755.8,91,79.29663476000001
337.9,189,0,174.90000000000001,9.5,944.7000000000001,755.8,91,67.79617508
222.36000000000002,0,96.670000000000002,189.29,4.46,967.08000000000005,870.3200000000001,3,11.57630204
222.36000000000002,0,96.670000000000002,189.29,4.46,967.08000000000005,870.3200000000001,14,24.448818960000001
222.36000000000002,0,96.670000000000002,189.29,4.46,967.08000000000005,870.3200000000001,28,24.890083600000001
222.36000000000002,0,96.670000000000002,189.29,4.46,967.08000000000005,870.3200000000001,56,29.447519959999998
222.36000000000002,0,96.670000000000002,189.29,4.46,967.08000000000005,870.3200000000001,100,40.7135578
233.81000000000001,0,94.58,197.89,4.5670000000000002,947.04,852.16,3,10.38350856
233.81000000000001,0,94.58,197.89,4.5670000000000002,947.04,852.16,14,22.13907436
233.81000000000001,0,94.58,197.89,4.5670000000000002,947.04,852.16,28,22.83544512
233.81000000000001,0,94.58,197.89,4.5670000000000002,947.04,852.16,56,27.66177712
233.81000000000001,0,94.58,197.89,4.5670000000000002,947.04,852.16,100,34.556537120000002
194.68000000000001,0,100.52,165.62000000000001,7.4800000000000005,1006.4,905.9,3,12.451936560000001
194.68000000000001,0,100.52,165.62000000000001,7.4800000000000005,1006.4,905.9,14,24.986610239999998
194.68000000000001,0,100.52,165.62000000000001,7.4800000000000005,1006.4,905.9,28,25.724349560000001
194.68000000000001,0,100.52,165.62000000000001,7.4800000000000005,1006.4,905.9,56,33.963587759999996
194.68000000000001,0,100.52,165.62000000000001,7.4800000000000005,1006.4,905.9,100,37.34202016
190.68000000000001,0,125.40000000000001,162.14,7.77,1090,804.01,3,15.04436632
190.68000000000001,0,125.40000000000001,162.14,7.77,1090,804.01,14,21.063491799999998
190.68000000000001,0,125.40000000000001,162.14,7.77,1090,804.01,28,26.40003604
190.68000000000001,0,125.40000000000001,162.14,7.77,1090,804.01,56,35.342539760000002
190.68000000000001,0,125.40000000000001,162.14,7.77,1090,804.01,100,40.56876784
212.07,0,121.62000000000001,180.31000000000001,5.6900000000000004,1057.6,779.3200000000001,3,12.47262084
212.07,0,121.62000000000001,180.31000000000001,5.6900000000000004,1057.6,779.3200000000001,14,20.918701840000001
212.07,0,121.62000000000001,180.31000000000001,5.6900000000000004,1057.6,779.3200000000001,28,24.903873120000001
212.07,0,121.62000000000001,180.31000000000001,5.6900000000000004,1057.6,779.3200000000001,56,34.204904360000001
212.07,0,121.62000000000001,180.31000000000001,5.6900000000000004,1057.6,779.3200000000001,100,39.6103962
229.97,0,118.31000000000001,195.47,4.63,1029.4000000000001,758.59000000000004,3,10.0318758
229.97,0,118.31000000000001,195.47,4.63,1029.4000000000001,758.59000000000004,14,20.084435880000001
229.97,0,118.31000000000001,195.47,4.63,1029.4000000000001,758.59000000000004,28,24.483292759999998
229.97,0,118.31000000000001,195.47,4.63,1029.4000000000001,758.59000000000004,56,31.53663224
229.97,0,118.31000000000001,195.47,4.63,1029.4000000000001,758.59000000000004,100,35.342539760000002
190.34000000000001,0,125.18000000000001,161.85,9.880000000000001,1088.1,802.59000000000004,3,9.4458212
190.34000000000001,0,125.18000000000001,161.85,9.880000000000001,1088.1,802.59000000000004,14,22.718234199999998
190.34000000000001,0,125.18000000000001,161.85,9.880000000000001,1088.1,802.59000000000004,28,28.468464040000001
190.34000000000001,0,125.18000000000001,161.85,9.880000000000001,1088.1,802.59000000000004,56,38.562392680000003
190.34000000000001,0,125.18000000000001,161.85,9.880000000000001,1088.1,802.59000000000004,100,40.389504080000002
166.09000000000001,0,163.27000000000002,176.46000000000001,4.4900000000000003,1058.6,780.09000000000004,3,10.76272036
166.09000000000001,0,163.27000000000002,176.46000000000001,4.4900000000000003,1058.6,780.09000000000004,14,25.48303296
166.09000000000001,0,163.27000000000002,176.46000000000001,4.4900000000000003,1058.6,780.09000000000004,28,21.53923024
166.09000000000001,0,163.27000000000002,176.46000000000001,4.4900000000000003,1058.6,780.09000000000004,56,28.627043520000001
166.09000000000001,0,163.27000000000002,176.46000000000001,4.4900000000000003,1058.6,780.09000000000004,100,33.543007400000001
167.95,42.08,163.83000000000002,121.75,5.72,1058.7000000000001,780.11000000000002,3,7.74971024
167.95,42.08,163.83000000000002,121.75,5.72,1058.7000000000001,780.11000000000002,14,17.8229546
167.95,42.08,163.83000000000002,121.75,5.72,1058.7000000000001,780.11000000000002,28,24.241976160000001
167.95,42.08,163.83000000000002,121.75,5.72,1058.7000000000001,780.11000000000002,56,32.853531400000002
167.95,42.08,163.83000000000002,121.75,5.72,1058.7000000000001,780.11000000000002,100,39.2311844
213.72,98.05,24.510000000000002,181.71000000000001,6.8600000000000004,1065.8,785.38,3,17.9953236
213.72,98.05,24.510000000000002,181.71000000000001,6.8600000000000004,1065.8,785.38,14,30.38520732
213.72,98.05,24.510000000000002,181.71000000000001,6.8600000000000004,1065.8,785.38,28,45.70536404
213.72,98.05,24.510000000000002,181.71000000000001,6.8600000000000004,1065.8,785.38,56,50.77301264
213.72,98.05,24.510000000000002,181.71000000000001,6.8600000000000004,1065.8,785.38,100,53.90323368
213.76,98.060000000000003,24.52,181.74000000000001,6.6500000000000004,1066,785.52,3,13.18278112
213.76,98.060000000000003,24.52,181.74000000000001,6.6500000000000004,1066,785.52,14,17.83674412
213.76,98.060000000000003,24.52,181.74000000000001,6.6500000000000004,1066,785.52,28,40.230924600000002
213.76,98.060000000000003,24.52,181.74000000000001,6.6500000000000004,1066,785.52,56,47.132579360000002
213.76,98.060000000000003,24.52,181.74000000000001,6.6500000000000004,1066,785.52,100,49.973220479999995
229.68000000000001,0,118.16,195.23,6.13,1028.1,757.63,3,13.35515012
229.68000000000001,0,118.16,195.23,6.13,1028.1,757.63,14,22.31833812
229.68000000000001,0,118.16,195.23,6.13,1028.1,757.63,28,24.53845084
229.68000000000001,0,118.16,195.23,6.13,1028.1,757.63,56,31.350473720000001
229.68000000000001,0,118.16,195.23,6.13,1028.1,757.63,100,40.858347760000001
238.05000000000002,0,94.11,186.66,7,949.91,847.01,3,19.93275116
238.05000000000002,0,94.11,186.66,7,949.91,847.01,14,25.68987576
238.05000000000002,0,94.11,186.66,7,949.91,847.01,28,30.233522600000001
238.05000000000002,0,94.11,186.66,7,949.91,847.01,56,39.58971192
238.05000000000002,0,94.11,186.66,7,949.91,847.01,100,44.298833000000002
250,0,95.69,187.42,5.5300000000000003,956.86000000000002,861.17,3,13.817099039999999
250,0,95.69,187.42,5.5300000000000003,956.86000000000002,861.17,14,24.91766264
250,0,95.69,187.42,5.5300000000000003,956.86000000000002,861.17,28,29.21999288
250,0,95.69,187.42,5.5300000000000003,956.86000000000002,861.17,56,38.32797084
250,0,95.69,187.42,5.5300000000000003,956.86000000000002,861.17,100,42.347615919999996
212.52000000000002,0,100.37000000000001,159.32,8.710000000000001,1007.8,903.59000000000004,3,13.541308640000001
212.52000000000002,0,100.37000000000001,159.32,8.710000000000001,1007.8,903.59000000000004,14,26.310404159999998
212.52000000000002,0,100.37000000000001,159.32,8.710000000000001,1007.8,903.59000000000004,28,31.640053639999998
212.52000000000002,0,100.37000000000001,159.32,8.710000000000001,1007.8,903.59000000000004,56,42.54756396
212.52000000000002,0,100.37000000000001,159.32,8.710000000000001,1007.8,903.59000000000004,100,42.919881
212.57,0,100.39000000000001,159.35,10.37,1003.8,903.79,3,13.334465840000001
212.57,0,100.39000000000001,159.35,10.37,1003.8,903.79,14,25.3727168
212.57,0,100.39000000000001,159.35,10.37,1003.8,903.79,28,37.404073
212.57,0,100.39000000000001,159.35,10.37,1003.8,903.79,56,44.395359639999996
212.57,0,100.39000000000001,159.35,10.37,1003.8,903.79,100,47.739318239999996
212,0,124.78000000000001,159,7.84,1085.4000000000001,799.54,3,19.519065559999998
212,0,124.78000000000001,159,7.84,1085.4000000000001,799.54,14,31.350473720000001
212,0,124.78000000000001,159,7.84,1085.4000000000001,799.54,28,38.500339839999996
212,0,124.78000000000001,159,7.84,1085.4000000000001,799.54,56,45.084835640000002
212,0,124.78000000000001,159,7.84,1085.4000000000001,799.54,100,47.8151606
231.75,0,121.62000000000001,173.96000000000001,6.72,1056.4000000000001,778.4500000000001,3,15.43736764
231.75,0,121.62000000000001,173.96000000000001,6.72,1056.4000000000001,778.4500000000001,14,26.77235308
231.75,0,121.62000000000001,173.96000000000001,6.72,1056.4000000000001,778.4500000000001,28,33.72916592
231.75,0,121.62000000000001,173.96000000000001,6.72,1056.4000000000001,778.4500000000001,56,42.69924868
231.75,0,121.62000000000001,173.96000000000001,6.72,1056.4000000000001,778.4500000000001,100,45.836364480000001
251.37000000000001,0,118.27,188.45,5.75,1028.4000000000001,757.73000000000002,3,17.22311048
251.37000000000001,0,118.27,188.45,5.75,1028.4000000000001,757.73000000000002,14,29.93015316
251.37000000000001,0,118.27,188.45,5.75,1028.4000000000001,757.73000000000002,28,29.654362759999998
251.37000000000001,0,118.27,188.45,5.75,1028.4000000000001,757.73000000000002,56,36.96970312
251.37000000000001,0,118.27,188.45,5.75,1028.4000000000001,757.73000000000002,100,43.58177796
251.37000000000001,0,118.27,188.45,6.35,1028.4000000000001,757.73000000000002,3,13.12072828
251.37000000000001,0,118.27,188.45,6.35,1028.4000000000001,757.73000000000002,14,24.42813468
251.37000000000001,0,118.27,188.45,6.35,1028.4000000000001,757.73000000000002,28,32.660478120000001
251.37000000000001,0,118.27,188.45,6.35,1028.4000000000001,757.73000000000002,56,36.638754640000002
251.37000000000001,0,118.27,188.45,6.35,1028.4000000000001,757.73000000000002,100,44.209201119999996
181.38,0,167.01,169.59000000000001,7.56,1055.6,777.8,3,13.62404576
181.38,0,167.01,169.59000000000001,7.56,1055.6,777.8,14,21.601283079999999
181.38,0,167.01,169.59000000000001,7.56,1055.6,777.8,28,27.77209328
181.38,0,167.01,169.59000000000001,7.56,1055.6,777.8,56,35.570066839999996
181.38,0,167.01,169.59000000000001,7.56,1055.6,777.8,100,45.367520800000002
182.04,45.210000000000001,121.97,170.21000000000001,8.19,1059.4000000000001,780.65,3,7.3153403599999996
