"Cement (component 1)(kg in a m^3 mixture)","Blast Furnace Slag (component 2)(kg in a m^3 mixture)","Fly Ash (component 3)(kg in a m^3 mixture)","Water  (component 4)(kg in a m^3 mixture)","Superplasticizer (component 5)(kg in a m^3 mixture)","Coarse Aggregate  (component 6)(kg in a m^3 mixture)","Fine Aggregate (component 7)(kg in a m^3 mixture)","Age (day)","Concrete compressive strength(MPa, megapascals) "
182.04,45.210000000000001,121.97,170.21000000000001,8.19,1059.4000000000001,780.65,14,21.504756439999998
182.04,45.210000000000001,121.97,170.21000000000001,8.19,1059.4000000000001,780.65,28,31.2677366
182.04,45.210000000000001,121.97,170.21000000000001,8.19,1059.4000000000001,780.65,56,43.49904084
182.04,45.210000000000001,121.97,170.21000000000001,8.19,1059.4000000000001,780.65,100,48.67011084
168.88,42.22,124.25,158.33000000000002,10.830000000000001,1080.8,796.15,3,7.3980774799999996
168.88,42.22,124.25,158.33000000000002,10.830000000000001,1080.8,796.15,14,23.5111316
168.88,42.22,124.25,158.33000000000002,10.830000000000001,1080.8,796.15,28,31.116051880000001
168.88,42.22,124.25,158.33000000000002,10.830000000000001,1080.8,796.15,56,39.14844728
168.88,42.22,124.25,158.33000000000002,10.830000000000001,1080.8,796.15,100,48.15300384
290.35000000000003,0,96.18000000000001,168.08000000000002,9.410000000000001,961.18,865,3,22.50449664
290.35000000000003,0,96.18000000000001,168.08000000000002,9.410000000000001,961.18,865,14,34.67374804
290.35000000000003,0,96.18000000000001,168.08000000000002,9.410000000000001,961.18,865,28,34.73580088
290.35000000000003,0,96.18000000000001,168.08000000000002,9.410000000000001,961.18,865,56,45.084835640000002
290.35000000000003,0,96.18000000000001,168.08000000000002,9.410000000000001,961.18,865,100,48.97348028
277.05000000000002,0,97.390000000000001,160.6,11.830000000000001,973.9,875.61000000000002,3,23.138814560000001
277.05000000000002,0,97.390000000000001,160.6,11.830000000000001,973.9,875.61000000000002,14,41.885667
277.05000000000002,0,97.390000000000001,160.6,11.830000000000001,973.9,875.61000000000002,28,48.28400428
277.05000000000002,0,97.390000000000001,160.6,11.830000000000001,973.9,875.61000000000002,56,51.03501352
277.05000000000002,0,97.390000000000001,160.6,11.830000000000001,973.9,875.61000000000002,100,55.640713200000001
295.71,0,95.640000000000001,171.54,8.87,955.14,859.2000000000001,3,22.94576128
295.71,0,95.640000000000001,171.54,8.87,955.14,859.2000000000001,14,35.2322236
295.71,0,95.640000000000001,171.54,8.87,955.14,859.2000000000001,28,39.941344680000001
295.71,0,95.640000000000001,171.54,8.87,955.14,859.2000000000001,56,48.718374159999997
295.71,0,95.640000000000001,171.54,8.87,955.14,859.2000000000001,100,52.04164848
251.81000000000001,0,99.94,146.14,12.35,1006,899.76,3,21.02212324
251.81000000000001,0,99.94,146.14,12.35,1006,899.76,14,33.356848880000002
251.81000000000001,0,99.94,146.14,12.35,1006,899.76,28,33.94290348
251.81000000000001,0,99.94,146.14,12.35,1006,899.76,56,44.140253520000002
251.81000000000001,0,99.94,146.14,12.35,1006,899.76,100,45.367520800000002
249.1,0,98.75,158.11000000000002,12.800000000000001,987.76,889.01,3,15.361525279999999
249.1,0,98.75,158.11000000000002,12.800000000000001,987.76,889.01,14,28.6822016
249.1,0,98.75,158.11000000000002,12.800000000000001,987.76,889.01,28,30.847156240000001
249.1,0,98.75,158.11000000000002,12.800000000000001,987.76,889.01,56,42.030456959999996
249.1,0,98.75,158.11000000000002,12.800000000000001,987.76,889.01,100,51.0556978
252.31000000000001,0,98.75,146.25,14.17,987.76,889.01,3,21.78054684
252.31000000000001,0,98.75,146.25,14.17,987.76,889.01,14,42.29245784
252.31000000000001,0,98.75,146.25,14.17,987.76,889.01,28,50.600643640000002
252.31000000000001,0,98.75,146.25,14.17,987.76,889.01,56,55.82687172
252.31000000000001,0,98.75,146.25,14.17,987.76,889.01,100,60.949678399999997
246.83000000000002,0,125.08,143.30000000000002,11.990000000000001,1086.8,800.89,3,23.52492112
246.83000000000002,0,125.08,143.30000000000002,11.990000000000001,1086.8,800.89,14,42.216615480000002
246.83000000000002,0,125.08,143.30000000000002,11.990000000000001,1086.8,800.89,28,52.5035974
246.83000000000002,0,125.08,143.30000000000002,11.990000000000001,1086.8,800.89,56,60.32225524
246.83000000000002,0,125.08,143.30000000000002,11.990000000000001,1086.8,800.89,100,66.42411784
275.07,0,121.35,159.48,9.900000000000001,1053.6,777.5,3,23.800711520000001
275.07,0,121.35,159.48,9.900000000000001,1053.6,777.5,14,38.76923548
275.07,0,121.35,159.48,9.900000000000001,1053.6,777.5,28,51.331488199999996
275.07,0,121.35,159.48,9.900000000000001,1053.6,777.5,56,56.847296199999996
275.07,0,121.35,159.48,9.900000000000001,1053.6,777.5,100,58.605460000000001
297.16000000000003,0,117.54000000000001,174.80000000000002,9.52,1022.8,753.4500000000001,3,21.911547280000001
297.16000000000003,0,117.54000000000001,174.80000000000002,9.52,1022.8,753.4500000000001,14,36.990387399999996
297.16000000000003,0,117.54000000000001,174.80000000000002,9.52,1022.8,753.4500000000001,28,47.401475
297.16000000000003,0,117.54000000000001,174.80000000000002,9.52,1022.8,753.4500000000001,56,51.958911360000002
297.16000000000003,0,117.54000000000001,174.80000000000002,9.52,1022.8,753.4500000000001,100,56.743874800000001
213.74000000000001,0,174.74000000000001,154.79,10.160000000000001,1053.5,776.35000000000003,3,17.574743240000001
213.74000000000001,0,174.74000000000001,154.79,10.160000000000001,1053.5,776.35000000000003,14,33.72916592
213.74000000000001,0,174.74000000000001,154.79,10.160000000000001,1053.5,776.35000000000003,28,40.14818748
213.74000000000001,0,174.74000000000001,154.79,10.160000000000001,1053.5,776.35000000000003,56,46.6430514
213.74000000000001,0,174.74000000000001,154.79,10.160000000000001,1053.5,776.35000000000003,100,50.07664188
213.5,0,174.24000000000001,154.61000000000002,11.660000000000001,1052.3,775.48000000000002,3,17.36790044
213.5,0,174.24000000000001,154.61000000000002,11.660000000000001,1052.3,775.48000000000002,14,33.701586880000001
213.5,0,174.24000000000001,154.61000000000002,11.660000000000001,1052.3,775.48000000000002,28,45.939785879999996
213.5,0,174.24000000000001,154.61000000000002,11.660000000000001,1052.3,775.48000000000002,56,51.4349096
213.5,0,174.24000000000001,154.61000000000002,11.660000000000001,1052.3,775.48000000000002,100,59.301830760000002
277.19,97.82,24.460000000000001,160.7,11.19,1061.7000000000001,782.46000000000004,3,30.44726016
277.19,97.82,24.460000000000001,160.7,11.19,1061.7000000000001,782.46000000000004,14,47.7117392
277.19,97.82,24.460000000000001,160.7,11.19,1061.7000000000001,782.46000000000004,28,63.142212080000001
277.19,97.82,24.460000000000001,160.7,11.19,1061.7000000000001,782.46000000000004,56,66.82401392
277.19,97.82,24.460000000000001,160.7,11.19,1061.7000000000001,782.46000000000004,100,66.9481196
218.23,54.640000000000001,123.78000000000001,140.75,11.910000000000001,1075.7000000000001,792.67,3,27.42046052
218.23,54.640000000000001,123.78000000000001,140.75,11.910000000000001,1075.7000000000001,792.67,14,35.9561734
218.23,54.640000000000001,123.78000000000001,140.75,11.910000000000001,1075.7000000000001,792.67,28,55.50971276
218.23,54.640000000000001,123.78000000000001,140.75,11.910000000000001,1075.7000000000001,792.67,56,61.99078716
218.23,54.640000000000001,123.78000000000001,140.75,11.910000000000001,1075.7000000000001,792.67,100,63.528318639999995
214.90000000000001,53.8,121.89000000000001,155.63,9.61,1014.3,780.58000000000005,3,18.016007880000001
214.90000000000001,53.8,121.89000000000001,155.63,9.61,1014.3,780.58000000000005,14,38.60376124
214.90000000000001,53.8,121.89000000000001,155.63,9.61,1014.3,780.58000000000005,28,52.20022796
214.90000000000001,53.8,121.89000000000001,155.63,9.61,1014.3,780.58000000000005,56,53.95839176
214.90000000000001,53.8,121.89000000000001,155.63,9.61,1014.3,780.58000000000005,100,56.63355864
218.85,0,124.13,158.49000000000001,11.330000000000001,1078.7000000000001,794.91,3,15.340841
218.85,0,124.13,158.49000000000001,11.330000000000001,1078.7000000000001,794.91,14,26.04840328
218.85,0,124.13,158.49000000000001,11.330000000000001,1078.7000000000001,794.91,28,30.219733079999998
218.85,0,124.13,158.49000000000001,11.330000000000001,1078.7000000000001,794.91,56,37.266177800000002
218.85,0,124.13,158.49000000000001,11.330000000000001,1078.7000000000001,794.91,100,46.2293658
376,0,0,214.6,0,1003.5,762.36000000000002,3,16.27852836
376,0,0,214.6,0,1003.5,762.36000000000002,14,25.62092816
376,0,0,214.6,0,1003.5,762.36000000000002,28,31.971002119999998
376,0,0,214.6,0,1003.5,762.36000000000002,56,36.3009114
376,0,0,214.6,0,1003.5,762.36000000000002,100,43.0577762
500,0,0,140,4,966,853,28,67.568648
475,0,59,142,1.9,1098,641,28,57.226507999999996
315,137,0,145,5.9000000000000004,1130,745,28,81.751169320000003
505,0,60,195,0,1030,630,28,64.0178466
451,0,0,165,11.25,1030,745,28,78.800212039999992
516,0,0,162,8.2,801,802,28,41.368560000000003
520,0,0,170,5.2000000000000002,855,855,28,60.280886679999995
528,0,0,185,6.8600000000000004,920,720,28,56.83350668
520,0,0,175,5.2000000000000002,870,805,28,51.021224
385,0,136,158,20,903,768,28,55.551081320000002
500.10000000000003,0,0,200,3,1124.4000000000001,613.2000000000001,28,44.133358760000001
450.10000000000003,50,0,200,3,1124.4000000000001,613.2000000000001,28,39.375974360000001
397,17.2,158,167,20.800000000000001,967,633,28,55.647607959999995
333,17.5,163,167,17.9,996,652,28,47.27736932
334,17.600000000000002,158,189,15.300000000000001,967,633,28,44.326412040000002
405,0,0,175,0,1120,695,28,52.303649360000002
200,200,0,190,0,1145,660,28,49.249270679999996
516,0,0,162,8.26,801,802,28,41.368560000000003
145,116,119,184,5.7000000000000002,833,880,28,29.15794004
160,128,122,182,6.4000000000000004,824,879,28,39.39665864
234,156,0,189,5.85,981,760,28,39.300132
250,180,95,159,9.45,860,800,28,67.86512268
475,0,0,162,9.5,1044,662,28,58.522722879999997
285,190,0,163,7.6,1031,685,28,53.57917996
356,119,0,160,9.03,1061,657,28,58.99846132
275,180,120,162,10.35,830,765,28,76.23536132
500,0,0,151,9,1033,655,28,69.837024040000003
165,0.020000000000000001,143.57,163.81000000000001,0,1005.6000000000001,900.9,3,14.39625888
165,128.5,132.1,175.06000000000001,8.0800000000000001,1005.8,746.60000000000003,3,19.41564416
178.03000000000001,129.80000000000002,118.6,179.94,3.57,1007.3,746.8,3,20.72564856
167.35,129.90000000000001,128.62000000000001,175.46000000000001,7.7900000000000001,1006.3,746.60000000000003,3,14.94094492
172.38,13.61,172.37000000000001,156.76,4.14,1006.3,856.4,3,21.29101888
173.54,50.05,173.53000000000001,164.77000000000002,6.47,1006.2000000000001,793.5,3,23.076761720000001
167,75.40000000000001,167,164.03000000000001,7.9100000000000002,1007.3,770.10000000000003,3,15.520104759999999
173.81000000000001,93.37000000000001,159.90000000000001,172.34000000000001,9.730000000000001,1007.2000000000001,746.60000000000003,3,15.81657944
190.34000000000001,0,125.18000000000001,166.61000000000002,9.880000000000001,1079,798.9,3,12.548463200000001
250,0,95.69,191.84000000000001,5.3300000000000001,948.9,857.2000000000001,3,8.48744956
213.5,0,174.24000000000001,159.21000000000001,11.660000000000001,1043.6,771.9,3,15.60973664
194.68000000000001,0,100.52,170.17,7.4800000000000005,998,901.8,3,12.176146160000001
251.37000000000001,0,118.27,192.94,5.75,1043.6,754.3,3,11.98309288
165,0.020000000000000001,143.57,163.81000000000001,0,1005.6000000000001,900.9,14,16.87837248
165,128.5,132.1,175.06000000000001,8.0800000000000001,1005.8,746.60000000000003,14,33.08795324
178.03000000000001,129.80000000000002,118.6,179.94,3.57,1007.3,746.8,14,34.239378160000002
167.35,129.90000000000001,128.62000000000001,175.46000000000001,7.7900000000000001,1006.3,746.60000000000003,14,31.812422639999998
172.38,13.61,172.37000000000001,156.76,4.14,1006.3,856.4,14,29.7508894
173.54,50.05,173.53000000000001,164.77000000000002,6.47,1006.2000000000001,793.5,14,33.005216120000001
167,75.40000000000001,167,164.03000000000001,7.9100000000000002,1007.3,770.10000000000003,14,32.90179472
173.81000000000001,93.37000000000001,159.90000000000001,172.34000000000001,9.730000000000001,1007.2000000000001,746.60000000000003,14,29.55094136
190.34000000000001,0,125.18000000000001,166.61000000000002,9.880000000000001,1079,798.9,14,19.41564416
250,0,95.69,191.84000000000001,5.3300000000000001,948.9,857.2000000000001,14,24.655661760000001
213.5,0,174.24000000000001,159.21000000000001,11.660000000000001,1043.6,771.9,14,29.592309919999999
194.68000000000001,0,100.52,170.17,7.4800000000000005,998,901.8,14,24.28334472
251.37000000000001,0,118.27,192.94,5.75,1043.6,754.3,14,20.72564856
165,0.020000000000000001,143.57,163.81000000000001,0,1005.6000000000001,900.9,28,26.200088000000001
165,128.5,132.1,175.06000000000001,8.0800000000000001,1005.8,746.60000000000003,28,46.38794528
178.03000000000001,129.80000000000002,118.6,179.94,3.57,1007.3,746.8,28,39.162236800000003
167.35,129.90000000000001,128.62000000000001,175.46000000000001,7.7900000000000001,1006.3,746.60000000000003,28,41.203085760000001
172.38,13.61,172.37000000000001,156.76,4.14,1006.3,856.4,28,33.68779736
173.54,50.05,173.53000000000001,164.77000000000002,6.47,1006.2000000000001,793.5,28,38.20386516
167,75.40000000000001,167,164.03000000000001,7.9100000000000002,1007.3,770.10000000000003,28,41.40992856
173.81000000000001,93.37000000000001,159.90000000000001,172.34000000000001,9.730000000000001,1007.2000000000001,746.60000000000003,28,37.810863839999997
190.34000000000001,0,125.18000000000001,166.61000000000002,9.880000000000001,1079,798.9,28,24.84871504
250,0,95.69,191.84000000000001,5.3300000000000001,948.9,857.2000000000001,28,27.220512480000001
213.5,0,174.24000000000001,159.21000000000001,11.660000000000001,1043.6,771.9,28,44.63667624
194.68000000000001,0,100.52,170.17,7.4800000000000005,998,901.8,28,37.266177800000002
251.37000000000001,0,118.27,192.94,5.75,1043.6,754.3,28,33.27411176
165,0.020000000000000001,143.57,163.81000000000001,0,1005.6000000000001,900.9,56,36.56291228
165,128.5,132.1,175.06000000000001,8.0800000000000001,1005.8,746.60000000000003,56,53.723969920000002
178.03000000000001,129.80000000000002,118.6,179.94,3.57,1007.3,746.8,56,48.587373719999996
167.35,129.90000000000001,128.62000000000001,175.46000000000001,7.7900000000000001,1006.3,746.60000000000003,56,51.72448952
172.38,13.61,172.37000000000001,156.76,4.14,1006.3,856.4,56,35.852751999999996
173.54,50.05,173.53000000000001,164.77000000000002,6.47,1006.2000000000001,793.5,56,53.77223324
167,75.40000000000001,167,164.03000000000001,7.9100000000000002,1007.3,770.10000000000003,56,53.46196904
173.81000000000001,93.37000000000001,159.90000000000001,172.34000000000001,9.730000000000001,1007.2000000000001,746.60000000000003,56,48.9872698
190.34000000000001,0,125.18000000000001,166.61000000000002,9.880000000000001,1079,798.9,56,31.715896000000001
250,0,95.69,191.84000000000001,5.3300000000000001,948.9,857.2000000000001,56,39.64487
213.5,0,174.24000000000001,159.21000000000001,11.660000000000001,1043.6,771.9,56,51.25564584
194.68000000000001,0,100.52,170.17,7.4800000000000005,998,901.8,56,43.388724679999996
251.37000000000001,0,118.27,192.94,5.75,1043.6,754.3,56,39.2656582
165,0.020000000000000001,143.57,163.81000000000001,0,1005.6000000000001,900.9,100,37.955653800000001
165,128.5,132.1,175.06000000000001,8.0800000000000001,1005.8,746.60000000000003,100,55.020184799999996
178.03000000000001,129.80000000000002,118.6,179.94,3.57,1007.3,746.8,100,49.99390476
167.35,129.90000000000001,128.62000000000001,175.46000000000001,7.7900000000000001,1006.3,746.60000000000003,100,53.655022320000001
172.38,13.61,172.37000000000001,156.76,4.14,1006.3,856.4,100,37.679863400000003
173.54,50.05,173.53000000000001,164.77000000000002,6.47,1006.2000000000001,793.5,100,56.061293559999996
167,75.40000000000001,167,164.03000000000001,7.9100000000000002,1007.3,770.10000000000003,100,56.812822400000002
173.81000000000001,93.37000000000001,159.90000000000001,172.34000000000001,9.730000000000001,1007.2000000000001,746.60000000000003,100,50.93848688
190.34000000000001,0,125.18000000000001,166.61000000000002,9.880000000000001,1079,798.9,100,33.56369168
250,0,95.69,191.84000000000001,5.3300000000000001,948.9,857.2000000000001,100,41.1617172
213.5,0,174.24000000000001,159.21000000000001,11.660000000000001,1043.6,771.9,100,52.95865156
194.68000000000001,0,100.52,170.17,7.4800000000000005,998,901.8,100,44.27814872
251.37000000000001,0,118.27,192.94,5.75,1043.6,754.3,100,40.14818748
446,24,79,162,11.61,967,712,28,57.026559960000001
446,24,79,162,11.640000000000001,967,712,28,44.422938680000002
446,24,79,162,11.640000000000001,967,712,28,51.021224
446,24,79,162,10.300000000000001,967,712,28,53.38612668
446,24,79,162,11.61,967,712,3,35.36322404
446,24,79,162,11.640000000000001,967,712,3,25.021084039999999
446,24,79,162,11.640000000000001,967,712,3,23.345657360000001
446,24,79,162,11.61,967,712,7,52.00717468
446,24,79,162,11.640000000000001,967,712,7,38.017706640000001
446,24,79,162,11.640000000000001,967,712,7,39.300132
446,24,79,162,11.61,967,712,56,61.066889320000002
446,24,79,162,11.640000000000001,967,712,56,56.144030680000001
446,24,79,162,11.640000000000001,967,712,56,55.25460664
446,24,79,162,10.300000000000001,967,712,56,54.765078679999995
387,20,94,157,14.320000000000001,938,845,28,50.23522136
387,20,94,157,13.93,938,845,28,46.68441996
387,20,94,157,11.61,938,845,28,46.68441996
387,20,94,157,14.320000000000001,938,845,3,22.752708
387,20,94,157,13.93,938,845,3,25.510612
387,20,94,157,11.61,938,845,3,34.77027468
387,20,94,157,14.320000000000001,938,845,7,36.83870268
387,20,94,157,13.93,938,845,7,45.898417320000001
387,20,94,157,11.61,938,845,7,41.66503468
387,20,94,157,14.320000000000001,938,845,56,56.337083960000002
387,20,94,157,13.93,938,845,56,47.96684532
387,20,94,157,11.61,938,845,56,61.45989064
355,19,97,145,13.130000000000001,967,871,28,44.02993736
355,19,97,145,12.25,967,871,28,55.454554680000002
491,26,123,210,3.9300000000000002,882,699,28,55.551081320000002
491,26,123,201,3.9300000000000002,822,699,28,57.915983999999995
491,26,123,210,3.9300000000000002,882,699,3,25.609108569458642
491,26,123,210,3.9300000000000002,882,699,7,33.488834284729315
491,26,123,210,3.9300000000000002,882,699,56,59.590425715270677
491,26,123,201,3.9300000000000002,822,699,3,29.548971430541361
491,26,123,201,3.9300000000000002,822,699,7,37.92118
491,26,123,201,3.9300000000000002,822,699,56,61.85584685418796
424,22,132,178,8.480000000000001,822,750,28,62.052839999999997
424,22,132,178,8.480000000000001,882,750,3,32.01138571527068
424,22,132,168,8.92,822,750,28,72.098505320000002
424,22,132,178,8.480000000000001,822,750,7,39.004642284729315
424,22,132,178,8.480000000000001,822,750,56,65.69721314581203
424,22,132,168,8.92,822,750,3,32.109882284729317
424,22,132,168,8.92,822,750,7,40.285097715270681
424,22,132,168,8.92,822,750,56,74.36491145812041
202,11,141,206,1.72,942,801,28,21.96670536
202,11,141,206,1.72,942,801,3,9.849657145812041
202,11,141,206,1.72,942,801,7,15.069975430541359
202,11,141,206,1.72,942,801,56,23.245190854187961
284,15,141,179,5.46,842,801,28,43.733462679999996
284,15,141,179,5.46,842,801,3,13.395533715270679
284,15,141,179,5.46,842,801,7,24.131660000000001
284,15,141,179,5.46,842,801,56,44.520450284729315
359,19,141,154,10.910000000000001,942,801,28,62.935369279999997
359,19,141,154,10.910000000000001,942,801,28,59.494884039999996
359,19,141,154,10.910000000000001,942,801,3,25.11662571527068
359,19,141,154,10.910000000000001,942,801,3,23.639177145812039
359,19,141,154,10.910000000000001,942,801,7,35.754255430541364
359,19,141,154,10.910000000000001,942,801,7,38.610656
359,19,141,154,10.910000000000001,942,801,56,68.75060685418797
359,19,141,154,10.910000000000001,942,801,56,66.78067543054137
436,0,0,218,0,838.4,719.7000000000001,28,23.848974840000001
289,0,0,192,0,913.2000000000001,895.3,90,32.068218236
289,0,0,192,0,913.2000000000001,895.3,3,11.654902304000001
393,0,0,192,0,940.60000000000003,785.60000000000003,3,19.199148695999999
393,0,0,192,0,940.60000000000003,785.60000000000003,90,48.846616696
393,0,0,192,0,940.60000000000003,785.60000000000003,28,39.604880392
480,0,0,192,0,936.2000000000001,712.2000000000001,28,43.942373908000001
480,0,0,192,0,936.2000000000001,712.2000000000001,7,34.569637164
480,0,0,192,0,936.2000000000001,712.2000000000001,90,54.315540328
480,0,0,192,0,936.2000000000001,712.2000000000001,3,24.404692496
333,0,0,192,0,931.2000000000001,842.60000000000003,3,15.615941924
255,0,0,192,0,889.8,945,90,21.859147104000002
255,0,0,192,0,889.8,945,7,10.222171176
289,0,0,192,0,913.2000000000001,895.3,7,14.596896395999999
255,0,0,192,0,889.8,945,28,18.746162964
333,0,0,192,0,931.2000000000001,842.60000000000003,28,31.966865263999996
333,0,0,192,0,931.2000000000001,842.60000000000003,7,23.404952295999998
289,0,0,192,0,913.2000000000001,895.3,28,25.573354316
333,0,0,192,0,931.2000000000001,842.60000000000003,90,41.680203152
393,0,0,192,0,940.60000000000003,785.60000000000003,7,27.742445811999997
255,0,0,192,0,889.8,945,3,8.204074924000001
158.80000000000002,238.2,0,185.7,0,1040.6,734.3,7,9.6175007240000011
239.6,359.4,0,185.7,0,941.60000000000003,664.3,7,25.422359072
238.2,158.80000000000002,0,185.7,0,1040.6,734.3,7,15.691094808000001
181.90000000000001,272.80000000000002,0,185.7,0,1012.4,714.3,28,27.935499091999998
193.5,290.2,0,185.7,0,998.2000000000001,704.3,28,32.626693796000005
255.5,170.30000000000002,0,185.7,0,1026.6,724.3,7,17.236210524000001
272.80000000000002,181.90000000000001,0,185.7,0,1012.4,714.3,7,19.765208492
239.6,359.4,0,185.7,0,941.60000000000003,664.3,28,39.435269296000002
220.80000000000002,147.2,0,185.7,0,1055,744.3,28,25.745033839999998
397,0,0,185.7,0,1040.6,734.3,28,33.082437432
382.5,0,0,185.7,0,1047.8,739.3,7,24.065470304000002
210.7,316.10000000000003,0,185.7,0,977,689.3,7,21.819846971999998
158.80000000000002,238.2,0,185.7,0,1040.6,734.3,28,21.066249704000001
295.80000000000002,0,0,185.7,0,1091.4000000000001,769.3,7,14.843728804
255.5,170.30000000000002,0,185.7,0,1026.6,724.3,28,32.051670812
203.5,135.7,0,185.7,0,1076.2000000000001,759.3,7,11.957582268
397,0,0,185.7,0,1040.6,734.3,7,25.447869684000001
381.4,0,0,185.7,0,1104.6,784.3,28,22.489328168000001
295.80000000000002,0,0,185.7,0,1091.4000000000001,769.3,28,25.216895223999999
228,342.10000000000003,0,185.7,0,955.8,674.3,28,39.699338604
220.80000000000002,147.2,0,185.7,0,1055,744.3,7,13.089012384000001
316.10000000000003,210.7,0,185.7,0,977,689.3,28,38.70028788
135.7,203.5,0,185.7,0,1076.2000000000001,759.3,7,7.5070146879999991
238.1,0,0,185.7,0,1118.8,789.3,28,17.576122192
339.2,0,0,185.7,0,1069.2000000000001,754.3,7,21.179323768
135.7,203.5,0,185.7,0,1076.2000000000001,759.3,28,18.19871902
193.5,290.2,0,185.7,0,998.2000000000001,704.3,7,17.200357771999997
203.5,135.7,0,185.7,0,1076.2000000000001,759.3,28,22.629981272
290.2,193.5,0,185.7,0,998.2000000000001,704.3,7,21.859147104000002
181.90000000000001,272.80000000000002,0,185.7,0,1012.4,714.3,7,12.37264682
170.30000000000002,155.5,0,185.7,0,1026.6,724.3,28,25.726417988000002
210.7,316.10000000000003,0,185.7,0,977,689.3,28,37.813621743999996
228,342.10000000000003,0,185.7,0,955.8,674.3,7,21.917063088
290.2,193.5,0,185.7,0,998.2000000000001,704.3,28,33.0431373
381.4,0,0,185.7,0,1104.6,784.3,7,14.541048840000001
238.2,158.80000000000002,0,185.7,0,1040.6,734.3,28,26.91369566
186.2,124.1,0,185.7,0,1083.4000000000001,764.3,7,7.9958531720000004
339.2,0,0,185.7,0,1069.2000000000001,754.3,28,31.899986092
238.1,0,0,185.7,0,1118.8,789.3,7,10.335934715999999
252.5,0,0,185.7,0,1111.6,784.3,28,19.765208492
382.5,0,0,185.7,0,1047.8,739.3,28,37.437857324
252.5,0,0,185.7,0,1111.6,784.3,7,11.483912255999999
316.10000000000003,210.7,0,185.7,0,977,689.3,7,24.437787344000001
186.2,124.1,0,185.7,0,1083.4000000000001,764.3,28,17.596806471999998
170.30000000000002,155.5,0,185.7,0,1026.6,724.3,7,10.730314988
272.80000000000002,181.90000000000001,0,185.7,0,1012.4,714.3,28,31.38150014
339,0,0,197,0,968,781,3,13.224149680000001
339,0,0,197,0,968,781,7,20.966965160000001
339,0,0,197,0,968,781,14,27.04124872
339,0,0,197,0,968,781,28,32.039949719999996
